IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
241628,6041,Marin County,California,WEST,9,94903 San Rafael,94903,0.2,0.11,0.21,0.85,0.02,2.32,0.44,0.1,70758,37464,0.336465068,0.267405263,0.054477595,0.341652075
241659,39011,Auglaize County,Ohio,MIDWEST,3,45885 Saint Marys,45885,0.27,0.14,0.16,0.98,0,2.53,0.13,0.2,41164,18956,0.629184141,0.035395322,0.17282351,0.162597027
241709,42091,Montgomery County,Pennsylvania,EAST,2,19446 Lansdale,19446,0.25,0.13,0.14,0.87,0.04,2.54,0.34,0.11,60797,28508,0.446005116,0.05593519,0.199802659,0.298257036
241931,6037,Los Angeles County,California,WEST,9,90603 Whittier,90603,0.26,0.14,0.18,0.78,0.01,2.8,0.22,0.12,59328,25600,0.534388176,0.120834478,0.117369629,0.227407717
241941,6037,Los Angeles County,California,WEST,9,91767 Pomona,91767,0.33,0.19,0.08,0.42,0.14,3.51,0.14,0.25,40057,13821,0.640135222,0.053770908,0.143249949,0.162843921
241965,53033,King County,Washington,WEST,9,98052 Redmond,98052,0.23,0.13,0.09,0.8,0.01,2.39,0.48,0.08,68923,36862,0.481475257,0.192984022,0.045098227,0.280442494
241974,36065,Oneida County,New York,EAST,2,13309 Boonville,13309,0.26,0.12,0.16,0.99,0,2.53,0.1,0.27,34736,15871,0.578947818,0.067092339,0.107431848,0.246527994
241977,25027,Worcester County,Massachusetts,EAST,1,01569 Uxbridge,1569,0.29,0.17,0.1,0.98,0,2.79,0.26,0.13,62231,24545,0.388279303,0.086710137,0.117501576,0.407508984
241981,36103,Suffolk County,New York,EAST,2,11733 East Setauket,11733,0.24,0.13,0.1,0.83,0.03,3.03,0.52,0.06,98056,36530,0.340530778,0.098499911,0.04056729,0.52040202
241995,53053,Pierce County,Washington,WEST,9,98445 Tacoma,98445,0.28,0.14,0.11,0.73,0.08,2.74,0.11,0.16,46986,19705,0.527335943,0.046905072,0.244685657,0.181073328
242002,41005,Clackamas County,Oregon,WEST,9,97267 Portland,97267,0.23,0.12,0.14,0.92,0.01,2.52,0.2,0.14,49742,22984,0.589771795,0.058399706,0.087671929,0.26415657
242020,6001,Alameda County,California,WEST,9,94580 San Lorenzo,94580,0.25,0.14,0.14,0.59,0.05,2.9,0.15,0.13,54594,21751,0.587853352,0.121899053,0.090581621,0.199665974
242061,34013,Essex County,New Jersey,EAST,2,07040 Maplewood,7040,0.28,0.16,0.12,0.59,0.33,2.81,0.47,0.08,79683,36795,0.37213599,0.129924941,0.000829838,0.497109231
